Permit Number,Permittee Name,Project Name,Mechanical Treatment Type (Suspended Growth/Attached Growth),Unit Process,Plant Optimized for Nutrient Reduction (Y/N),Year of Plant Optimization,Design Flow (MGD),Actual Flow From Permit Application (MGD) ,Average Facility Flow 2019 (MGD),Average Facility Flow 2020 (MGD),Average Facility Flow 2021 (MGD),Average Facility Flow 2022 (MGD),Average Facility Flow 2023 (MGD),Parameter,Nutrient Limit or Monitoring Requirement,Frequency,Sample Type,Monthly Average (lb/day),Daily Max (lb/day),Quarterly Average (lb/day),Monthly Average (mg/L),Daily Max (mg/L),Quarterly Average (mg/L),Rolling Average (lb/yr),Annual Average (lb/day),Annual Total (lb/yr),Total Annual Effluent Loading 2019 (lb/yr),Total Annual Effluent Conentration 2019 (mg/L) [CALCULATED],Total Annual Effluent Loading 2020 (lb/yr),"Total Annual Effluent Concentration  2020 (mg/L)
[CALCULATED]",Total Annual Effluent Loading 2021 (lb/yr),"Total Annual Effluent Concentration  2021 (mg/L)
[CALCULATED]",Total Annual Effluent Loaading 2022 (lb/yr),"Total Annual Effluent Concentration 2022 (mg/L)
[CALCULATED]",Total Annual Effluent Loading 2023 (lb/yr),Total Annual Effluent Concentration 2023 (mg/L) [CALCULATED]
TN0021229,Town of Greeneville,Denzil Bowman Wastewater Treatment Plant,Suspended Growth,Aeration Basin Conventional Plug Flow,N,N/A,7,3.55,5.31,5,3.85,3.41,3.37,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,78405,4.86,16502,1.09,24935,2.13,22113,2.14,15123,1.48
TN0021229,Town of Greeneville,Denzil Bowman Wastewater Treatment Plant,Suspended Growth,Aeration Basin Conventional Plug Flow,N,N/A,7,3.55,5.31,5,3.85,3.41,3.37,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,30487,1.89,4843,0.32,6908,0.59,11156,1.08,5616,0.55
TN0021237,City of Pigeon Forge,Pigeon Forge STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,6,3.049,3.03,3.01,2.9,2.84,2.77,"Nitrogen, Total (as N)",Monitor,Monthly,Composite,Report,Report,Not Limited,Report,Report,Not Limited,Report,Not Limited,Not Limited,25451,2.77,38720,4.24,50041,5.68,37213,4.32,35258,4.19
TN0021237,City of Pigeon Forge,Pigeon Forge STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,6,3.049,3.03,3.01,2.9,2.84,2.77,"Phosphorous, Total (as P)",Monitor,Monthly,Composite,Report,Report,Not Limited,Report,Report,Not Limited,Report,Not Limited,Not Limited,2147,0.23,2059,0.23,1973,0.22,1135,0.13,2301,0.27
TN0021245,Town of Dandridge,Dandridge STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,0.9,0.245,0.38,0.34,0.38,0.33,0.34,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,2656,2.30,1681,1.63,4100,3.55,1891,1.89,6198,6.01
TN0021245,Town of Dandridge,Dandridge STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,0.9,0.245,0.38,0.34,0.38,0.33,0.34,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,1132,0.98,1597,1.55,1062,0.92,894,0.89,5604,5.43
TN0021253,City of Church Hill,Church Hill WWTP,Suspended Growth,Oxidation Ditch,Y,2019,2.5,1.01,0.82,0.77,0.65,0.63,0.76,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,3068,1.23,1177,0.50,3028,1.53,4045,2.12,3120,1.35
TN0021253,City of Church Hill,Church Hill WWTP,Suspended Growth,Oxidation Ditch,Y,2019,2.5,1.01,0.82,0.77,0.65,0.63,0.76,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,2018,0.81,1909,0.82,2238,1.13,2034,1.06,2276,0.99
TN0021261,Town of Spring City,Spring City STP,Suspended Growth,Oxidation Ditch,N,N/A,1.1,0.612,0.64,0.69,0.65,0.67,0.66,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,3439,1.77,5060,2.42,6022,3.05,4467,2.20,4953,2.47
TN0021261,Town of Spring City,Spring City STP,Suspended Growth,Oxidation Ditch,N,N/A,1.1,0.612,0.64,0.69,0.65,0.67,0.66,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,692,0.34,2020,1.01
TN0021296,"CH2M HILL Constructors, Inc.",CH2M HILL WWTP,Suspended Growth,Oxidation Ditch,N,N/A,4,2.41,2.33,2.51,2.5,2.59,2.53,"Nitrogen, Total (as N)",Limit,Twice A Month,Composite,400,Not Limited,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,80841,11.43,91274,11.98,82548,10.88,68919,8.77,79929,10.41
TN0021296,"CH2M HILL Constructors, Inc.",CH2M HILL WWTP,Suspended Growth,Oxidation Ditch,N,N/A,4,2.41,2.33,2.51,2.5,2.59,2.53,"Phosphorous, Total (as P)",Limit,Twice A Month,Composite,34,Not Limited,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,2734,0.39,2724,0.36,2547,0.34,2192,0.28,1969,0.26
TN0021539,Town of Alexandria,Alexandria STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,0.3,0.123,0.17,0.19,0.27,0.18,0.2,"Nitrogen, Total (as N)",Limit,Weekly/Monthly,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,7502,Not Limited,Not Limited,6765,13.11,8463,14.67,9391,11.46,4205,7.70,5618,9.25
TN0021539,Town of Alexandria,Alexandria STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,0.3,0.123,0.17,0.19,0.27,0.18,0.2,"Phosphorous, Total (as P)",Limit,Weekly/Monthly,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,1562,Not Limited,Not Limited,1550,3.00,1556,2.70,4908,5.99,1536,2.81,1910,3.15
TN0021563,City of Dyer,Dyer STP,Suspended Growth,Oxidation Ditch,Y,2022,0.675,0.4,0.48,0.42,0.38,0.3,0.31,"Nitrogen, Total (as N)",Limit,Monthly,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,27490,Not Limited,Not Limited,2465,1.69,4409,3.46,19376,16.80,3171,3.48,16.97,0.02
TN0021563,City of Dyer,Dyer STP,Suspended Growth,Oxidation Ditch,Y,2022,0.675,0.4,0.48,0.42,0.38,0.3,0.31,"Phosphorous, Total (as P)",Limit,Monthly,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,3436,Not Limited,Not Limited,904,0.62,1166,0.91,1814,1.57,130,0.14,1.56,0.00
TN0021580,City of Union City,A.L. Strub WWTP,Suspended Growth,Sequencing Batch Reactor,N,N/A,5,5.224,3.99,3.77,3.36,3.48,3.04,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,81565,6.73,90393,7.90,103321,10.13,72655,6.88,71275,7.72
TN0021580,City of Union City,A.L. Strub WWTP,Suspended Growth,Sequencing Batch Reactor,N,N/A,5,5.224,3.99,3.77,3.36,3.48,3.04,"Phosphorous, Total (as P)",Limit,Weekly/Annual,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,39878,Not Limited,Not Limited,15154,1.25,16339,1.43,39892,3.91,7934,0.75,14550,1.58
TN0021644,City of Cowan,Cowan STP,Suspended Growth,Oxidation Ditch,Y,2020,0.4,0.253,0.36,0.35,0.24,0.29,0.21,"Nitrogen, Total (as N)",Neither,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
TN0021644,City of Cowan,Cowan STP,Suspended Growth,Oxidation Ditch,Y,2020,0.4,0.253,0.36,0.35,0.24,0.29,0.21,"Phosphorous, Total (as P)",Neither,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
TN0021687,City of Pulaski,Pulaski STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,4,2.2,2.18,2.4,2.18,2.05,1.83,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,22498,3.40,16702,2.29,24758,3.74,23341,3.75,25591,4.61
TN0021687,City of Pulaski,Pulaski STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,4,2.2,2.18,2.4,2.18,2.05,1.83,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,2931,0.44,1952,0.27,2257,0.34,2332,0.37,2856,0.51
TN0021695,City of Waynesboro,Waynesboro STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,0.7,0.44,0.54,0.52,0.5,0.47,0.47,"Nitrogen, Total (as N)",Limit,Monthly/Semiannually,Composite,Report,Report,Not Limited,Report,Report,Not Limited,Not Limited,25,Not Limited,2760,1.68,1844,1.17,3092,2.04,3453,2.42,3845,2.70
TN0021695,City of Waynesboro,Waynesboro STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,0.7,0.44,0.54,0.52,0.5,0.47,0.47,"Phosphorous, Total (as P)",Limit,Monthly/Semiannually,Composite,Report,Report,Not Limited,Report,Report,Not Limited,Not Limited,5,Not Limited,774,0.47,418,0.26,531,0.35,567,0.40,818,0.57
TN0021741,City of McEwen,McEwen STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,0.6,0.41,0.43,0.37,0.43,0.3,0.31,"Nitrogen, Total (as N)",Limit,Twice A Month,Composite,Not Limited,Not Limited,Not Limited,Not Limited,Report,Report,Not Limited,23.3,Not Limited,Not Recorded,Not Recorded,3772,3.36,7230,5.54,4232,4.65,3311,3.52
TN0021741,City of McEwen,McEwen STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,0.6,0.41,0.43,0.37,0.43,0.3,0.31,"Phosphorous, Total (as P)",Limit,Twice A Month,Composite,Not Limited,Not Limited,Not Limited,Not Limited,Report,Report,Not Limited,8.9,Not Limited,1369,1.05,1281,1.14,1532,1.17,1700,1.87,1496,1.59
TN0021814,Fayetteville Public Utilities (FPU),Fayetteville STP,Suspended Growth,Aeration Basin Conventional Extended Air,Y,2015,3.35,1.29,1.25,1.2,1.09,1.03,0.95,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,2812,0.74,1458,0.40,930,0.28,10841,3.47,3064,1.06
TN0021814,Fayetteville Public Utilities (FPU),Fayetteville STP,Suspended Growth,Aeration Basin Conventional Extended Air,Y,2015,3.35,1.29,1.25,1.2,1.09,1.03,0.95,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,1997,0.53,2561,0.70,2502,0.76,4554,1.46,1875,0.65
TN0021822,Knoxville Utilities Board (KUB),Loves Creek STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,10.3,3.11,3.81,4.06,2.82,2.3,2.32,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,219822,19.01,91853,7.45,75441,8.81,56295,8.06,40281,5.72
TN0021822,Knoxville Utilities Board (KUB),Loves Creek STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,10.3,3.11,3.81,4.06,2.82,2.3,2.32,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,12507,1.08,5983,0.49,7033,0.82,4986,0.71,4292,0.61
TN0021857,Winchester Utility System,Winchester WWTP,Suspended Growth,Oxidation Ditch,N,N/A,3.2,0.79,1.08,1.12,0.93,0.94,0.93,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,827,0.25,2818,0.83,942,0.33,7143,2.50,7140,2.53
TN0021857,Winchester Utility System,Winchester WWTP,Suspended Growth,Oxidation Ditch,N,N/A,3.2,0.79,1.08,1.12,0.93,0.94,0.93,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,1434,0.44,1951,0.57,1548,0.55,3031,1.06,2902,1.03
TN0021865,City of Portland,Portland STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,2.85,1.53,1.89,1.87,1.72,1.75,1.71,"Nitrogen, Total (as N)",Limit,Monthly,Composite,Report,Report,Not Limited,Report,Report,Not Limited,Not Limited,Not Limited,43378,23171,4.04,23083,4.07,22631,4.33,26947,5.07,44958,8.66
TN0021865,City of Portland,Portland STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,2.85,1.53,1.89,1.87,1.72,1.75,1.71,"Phosphorous, Total (as P)",Limit,Monthly,Composite,Report,Report,Not Limited,Report,Report,Not Limited,Not Limited,Not Limited,2603,10591,1.85,11989,2.11,11613,2.22,12967,2.44,11137,2.15
TN0021873,Town of Livingston,Livingston STP,Suspended Growth,Sequencing Batch Reactor,Y,2015,1.62,1.48,1.58,1.74,1.67,1.33,1.27,"Nitrogen, Total (as N)",Limit,Weekly/Annual,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,39452,Not Limited,Not Limited,13238,2.76,13158,2.49,12280,2.42,10929,2.71,10343,2.68
TN0021873,Town of Livingston,Livingston STP,Suspended Growth,Sequencing Batch Reactor,Y,2015,1.62,1.48,1.58,1.74,1.67,1.33,1.27,"Phosphorous, Total (as P)",Limit,Weekly/Annual,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,9855,Not Limited,Not Limited,4714,0.98,3853,0.73,3761,0.74,3608,0.89,3864,1.00
TN0021938,Town of Englewood,Englewood STP,Suspended Growth,Oxidation Ditch,N,N/A,0.25,0.21,0.2,0.23,0.16,0.15,0.17,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,2093,3.45,2793,4.00,3978,8.19,2796,6.14,311,0.60
TN0021938,Town of Englewood,Englewood STP,Suspended Growth,Oxidation Ditch,N,N/A,0.25,0.21,0.2,0.23,0.16,0.15,0.17,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,295,0.49,451,0.65,493,1.02,454,1.00,391,0.76
TN0021946,City of Dunlap,Dunlap STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,0.934,0.64,0.7,0.76,0.55,0.56,0.52,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,247,0.11,Not Recorded,Not Recorded,577,0.34,2968,1.88
TN0021946,City of Dunlap,Dunlap STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,0.934,0.64,0.7,0.76,0.55,0.56,0.52,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,21.72,0.01,Not Recorded,Not Recorded,0,0.00,422,0.27
TN0022551,Lawrenceburg Utility Systems,Lawrenceburg STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,4.5,1.63,1.78,2.11,1.91,1.78,1.35,"Nitrogen, Total (as N)",Monitor,Weekly,Composite,Report,Report,Not Limited,Report,Report,Not Limited,Not Limited,187,Not Limited,8268,1.53,6899,1.08,13302,2.29,11942,2.21,3860,0.94
TN0022551,Lawrenceburg Utility Systems,Lawrenceburg STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,4.5,1.63,1.78,2.11,1.91,1.78,1.35,"Phosphorous, Total (as P)",Monitor,Weekly,Composite,Report,Report,Not Limited,Report,Report,Not Limited,Not Limited,19,Not Limited,3950,0.73,3098,0.48,5354,0.92,3157,0.58,1640,0.40
TN0022586,City of Murfreesboro,Sinking Creek STP,Suspended Growth,Oxidation Ditch,N,N/A,20,12.5,13.46,15.91,14.37,14.53,12.93,"Nitrogen, Total (as N)",Limit,Twice A Month,Composite,Report,Report,Not Limited,9,Report,Not Limited,Not Limited,1201,Not Limited,71934,1.76,106369,2.20,95588,2.19,94022,2.13,104017,2.65
TN0022586,City of Murfreesboro,Sinking Creek STP,Suspended Growth,Oxidation Ditch,N,N/A,20,12.5,13.46,15.91,14.37,14.53,12.93,"Phosphorous, Total (as P)",Limit,Twice A Month,Composite,Report,Report,Not Limited,Report,Report,Not Limited,Not Limited,307,Not Limited,39578,0.97,48425,1.00,69472,1.59,46676,1.06,89220,2.27
TN0022667,Town of Dover,Dover STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,0.6,0.17,0.22,0.21,0.21,0.2,0.19,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,402,0.63,528,0.83,1397,2.30,349,0.61
TN0022667,Town of Dover,Dover STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,0.6,0.17,0.22,0.21,0.21,0.2,0.19,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,908,1.42,433,0.68,404,0.67,410,0.71
TN0022861,Jellico Utilities Authority,Jellico STP,Suspended Growth,Oxidation Ditch,N,N/A,0.75,0.65,0.7,1.11,0.98,0.73,0.67,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,15474,4.59,8403,2.82,8399,3.79,14325,7.04
TN0022861,Jellico Utilities Authority,Jellico STP,Suspended Growth,Oxidation Ditch,N,N/A,0.75,0.65,0.7,1.11,0.98,0.73,0.67,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,1584,0.47,1822,0.61,1239,0.56,789,0.39
TN0022870,City of Maynardville,Maynardville STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,0.6,0.207,0.23,0.25,0.23,0.23,0.23,"Nitrogen, Total (as N)",Monitor,Quarterly,Grab,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,5456,7.82,8220,10.83,8563,12.27,5113,7.32,2951,4.23
TN0022870,City of Maynardville,Maynardville STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,0.6,0.207,0.23,0.25,0.23,0.23,0.23,"Phosphorous, Total (as P)",Monitor,Quarterly,Grab,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,1941,2.78,8064,10.63,7027,10.07,6015,8.62,5579,7.99
TN0022888,City of Lewisburg,Lewisburg STP,Attached Growth,Trickling Filter ,N,N/A,3.024,2.04,2.22,2.41,2.19,2.17,1.95,"Nitrogen, Total (as N)",Limit,Weekly/Quarterly,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,202,Not Limited,99634,14.79,24200,3.31,22683,3.41,21541,3.27,31118,5.26
TN0022888,City of Lewisburg,Lewisburg STP,Attached Growth,Trickling Filter ,N,N/A,3.024,2.04,2.22,2.41,2.19,2.17,1.95,"Phosphorous, Total (as P)",Limit,Monthly/Quarterly,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,25,Not Limited,7555,1.12,6778,0.93,5575,0.84,5678,0.86,9216,1.56
TN0022985,Town of Decaturville,Decaturville WWTP,Suspended Growth,Oxidation Ditch,N,N/A,0.23,0.14,0.12,0.16,0.13,0.12,0.13,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,1180,3.24,2299,4.73,1187,3.01,1893,5.20,Not Recorded,Not Recorded
TN0022985,Town of Decaturville,Decaturville WWTP,Suspended Growth,Oxidation Ditch,N,N/A,0.23,0.14,0.12,0.16,0.13,0.12,0.13,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,160,0.44,140,0.29,162,0.41,141,0.39,Not Recorded,Not Recorded
TN0022993,Town of Carthage,Carthage STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,0.625,0.345,0.55,0.48,0.45,0.43,0.38,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Report,Not Limited,Report,Report,Not Limited,Not Limited,Not Limited,3115,1.87,3284,2.25,4532,3.32,8452,6.48,3722,3.23
TN0022993,Town of Carthage,Carthage STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,0.625,0.345,0.55,0.48,0.45,0.43,0.38,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Report,Not Limited,Report,Report,Not Limited,Not Limited,Not Limited,437,0.26,394,0.27,798,0.58,1354,1.04,418,0.36
TN0023001,Erwin Utilities Authority,Erwin STP,Attached Growth,Rotating Biological Contactor,N,N/A,1.9,1.652,1.5,1.73,1.24,1.04,1.28,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Not Limited,Report,Report,Not Limited,Not Limited,Not Limited,Not Limited,27905,6.13,25781,4.91,19132,5.08,13858,4.39,18157,4.67
TN0023001,Erwin Utilities Authority,Erwin STP,Attached Growth,Rotating Biological Contactor,N,N/A,1.9,1.652,1.5,1.73,1.24,1.04,1.28,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Not Limited,Report,Report,Not Limited,Not Limited,Not Limited,Not Limited,8341,1.83,6827,1.30,2870,0.76,2778,0.88,2580,0.66
TN0023353,First Utility District of Knox County,Turkey Creek STP,Suspended Growth,Oxidation Ditch,N,N/A,15,9.79,8.86,9.53,8.8,8.83,8.69,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,239874,8.92,211368,7.31,188182,7.05,172715,6.44,201545,7.64
TN0023353,First Utility District of Knox County,Turkey Creek STP,Suspended Growth,Oxidation Ditch,N,N/A,15,9.79,8.86,9.53,8.8,8.83,8.69,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,43108,1.60,24737,0.86,22234,0.83,32941,1.23,10601,0.40
TN0023469,Tullahoma Utilities Authority,Tullahoma STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,5,3.3,3.22,3.27,2.89,3.73,3.74,"Nitrogen, Total (as N)",Limit,Quarterly/Twice a Month,Composite,Report,Report,Not Limited,Not Limited,Not Limited,Not Limited,121910,Not Limited,Not Limited,24415,2.50,43142,4.35,36326,4.14,52927,4.67,47532,4.19
TN0023469,Tullahoma Utilities Authority,Tullahoma STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,5,3.3,3.22,3.27,2.89,3.73,3.74,"Phosphorous, Total (as P)",Limit,Quarterly/Twice a Month,Composite,Report,Report,Not Limited,Not Limited,Not Limited,Not Limited,15221,Not Limited,Not Limited,3770,0.39,5907,0.60,4970,0.57,10499,0.93,8612,0.76
TN0023477,City of Dyersburg,Dyersburg STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,9.45,3.629,4.58,4.75,4.4,4.46,4.08,"Nitrogen, Total (as N)",Limit,Monthly,Composite,Not Limited,Not Limited,Not Limited,Report,Not Limited,Not Limited,240905,Not Limited,Not Limited,96431,6.94,128581,8.92,136198,10.20,178101,13.16,126648,10.23
TN0023477,City of Dyersburg,Dyersburg STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,9.45,3.629,4.58,4.75,4.4,4.46,4.08,"Phosphorous, Total (as P)",Limit,Monthly,Composite,Not Limited,Not Limited,Not Limited,Report,Not Limited,Not Limited,44530,Not Limited,Not Limited,24482,1.76,27986,1.94,34746,2.60,54285,4.01,37142,3.00
TN0023507,Morristown Utilities Commission,Turkey Creek Wastewater Treatment Plant,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,7.5,4.584,5.07,5.65,4.91,4.83,4.4,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,,0.00,160650,9.37,239937,16.10,164529,11.22,,0.00
TN0023507,Morristown Utilities Commission,Turkey Creek Wastewater Treatment Plant,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,7.5,4.584,5.07,5.65,4.91,4.83,4.4,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,,0.00,25380,1.48,20025,1.34,188244,12.84,,0.00
TN0023515,City of Elizabethton,Elizabethton STP,Suspended Growth,Oxidation Ditch,N,N/A,3.5,2.77,3.07,3.12,2.53,2.12,2.15,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,100652,10.80,207800,21.94,72503,9.44,63963,9.94,76899,11.78
TN0023515,City of Elizabethton,Elizabethton STP,Suspended Growth,Oxidation Ditch,N,N/A,3.5,2.77,3.07,3.12,2.53,2.12,2.15,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,16936,1.82,16724,1.77,12089,1.57,33293,5.17,9495,1.45
TN0023531,City of Bristol,Bristol STP 2,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,15,11.06,11.34,13.85,11.02,11.34,12.6,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
